
2026-04-20 22:36:07,921 | INFO | Система логирования инициализирована
2026-04-20 22:36:41,735 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 22:43:18,949 | INFO | Бот остановлен
2026-04-20 22:54:29,840 | INFO | Система логирования инициализирована
2026-04-20 22:54:29,856 | INFO | Система логирования инициализирована
2026-04-20 22:54:29,856 | INFO | Система логирования инициализирована
2026-04-20 22:54:29,859 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 22:54:29,859 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 22:54:29,867 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 22:54:29,867 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 22:54:29,870 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 22:54:29,870 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 22:54:29,872 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 22:54:29,872 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 22:54:33,029 | INFO | ✅ Установлено плечо: 1x
2026-04-20 22:54:33,029 | INFO | ✅ Установлено плечо: 1x
2026-04-20 22:55:18,157 | INFO | Бот остановлен
2026-04-20 22:55:18,157 | INFO | Бот остановлен
2026-04-20 23:03:52,666 | INFO | Система логирования инициализирована
2026-04-20 23:03:52,678 | INFO | Система логирования инициализирована
2026-04-20 23:03:52,678 | INFO | Система логирования инициализирована
2026-04-20 23:03:52,681 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:03:52,681 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:03:52,688 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:03:52,688 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:03:52,690 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:03:52,690 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:03:52,692 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:03:52,692 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:03:52,698 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:03:52,698 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:03:52,700 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:03:52,700 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:03:52,702 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:03:52,702 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:03:52,704 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:03:52,704 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:03:52,705 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:03:52,705 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:03:55,751 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:03:55,751 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:04:27,707 | INFO | Бот остановлен
2026-04-20 23:04:27,707 | INFO | Бот остановлен
2026-04-20 23:05:16,306 | INFO | Система логирования инициализирована
2026-04-20 23:05:16,325 | INFO | Система логирования инициализирована
2026-04-20 23:05:16,325 | INFO | Система логирования инициализирована
2026-04-20 23:05:16,328 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:05:16,328 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:05:16,336 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:05:16,336 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:05:16,339 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:05:16,339 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:05:16,341 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:05:16,341 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:05:16,347 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:05:16,347 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:05:16,350 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:05:16,350 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:05:16,353 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:05:16,353 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:05:16,355 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:05:16,355 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:05:16,356 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:05:16,356 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:05:19,504 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:05:19,504 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:05:50,003 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 23:05:50,003 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 23:06:55,857 | INFO | Бот остановлен
2026-04-20 23:06:55,857 | INFO | Бот остановлен
