2026-04-20 21:06:06 | INFO | Система логирования инициализирована
2026-04-20 21:06:40 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 21:09:49 | INFO | Бот остановлен
2026-04-20 22:36:07 | INFO | Система логирования инициализирована
2026-04-20 22:36:41 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 22:43:19 | INFO | Бот остановлен
2026-04-20 22:54:29 | INFO | Система логирования инициализирована
2026-04-20 22:54:29 | INFO | Система логирования инициализирована
2026-04-20 22:54:29 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 22:54:29 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 22:54:29 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 22:54:29 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 22:54:33 | INFO | ✅ Установлено плечо: 1x
2026-04-20 22:55:18 | INFO | Бот остановлен
2026-04-20 23:03:52 | INFO | Система логирования инициализирована
2026-04-20 23:03:52 | INFO | Система логирования инициализирована
2026-04-20 23:03:52 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:03:52 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:03:52 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:03:52 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:03:52 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:03:52 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:03:52 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:03:52 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:03:52 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:03:55 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:04:27 | INFO | Бот остановлен
2026-04-20 23:05:16 | INFO | Система логирования инициализирована
2026-04-20 23:05:16 | INFO | Система логирования инициализирована
2026-04-20 23:05:16 | INFO | 🔧 Используется ТЕСТОВЫЙ режим OKX
2026-04-20 23:05:16 | INFO | ✅ Включен тестовый режим (sandbox)
2026-04-20 23:05:16 | INFO | ✅ Подключено к OKX (TEST режим)
2026-04-20 23:05:16 | INFO | 📈 Торговая пара: BTC/USDT:USDT
2026-04-20 23:05:16 | INFO | 🛡️  Менеджер рисков инициализирован
2026-04-20 23:05:16 | INFO |    Макс. размер позиции: 0.05
2026-04-20 23:05:16 | INFO |    Стоп-лосс: 0.5%
2026-04-20 23:05:16 | INFO |    Тейк-профит: 1.0%
2026-04-20 23:05:16 | INFO |    Риск на сделку: 1.0%
2026-04-20 23:05:19 | INFO | ✅ Установлено плечо: 1x
2026-04-20 23:05:50 | INFO | Бот запущен. Баланс: 5000.00 USDT
2026-04-20 23:06:55 | INFO | Бот остановлен
